Source,Target,Weight
Zambia,Algeria,5
Argentina,German DR,1
South Korea,Libya,1
China PR,DR Congo,1
Iraq,Myanmar,5
Hong Kong,Iran,1
China PR,Morocco,1
Iraq,Thailand,10
Myanmar,Libya,1
Hong Kong,China PR,3
DR Congo,Iran,1
South Korea,Iraq,9
Tunisia,Malta,3
German DR,Scotland,3
Malaysia,Bahrain,2
China PR,Thailand,14
United States,El Salvador,20
Guatemala,United States,5
Mauritius,Seychelles,8
Northern Ireland,Iceland,2
Libya,Cyprus,1
Kuwait,Hong Kong,6
Zambia,India,3
Switzerland,Finland,4
El Salvador,Canada,5
Guatemala,Suriname,2
South Korea,Kuwait,12
United States,China PR,5
Canada,Suriname,2
Mexico,Suriname,3
Kuwait,Australia,5
Canada,Guatemala,10
Haiti,Suriname,3
China PR,Jamaica,3
Hungary,Bolivia,2
Tunisia,Nigeria,6
Northern Ireland,Belgium,2
German DR,Turkey,1
Philippines,Brunei,5
Iraq,Morocco,1
Somalia,Zanzibar,2
Ghana,Gambia,5
Sudan,Congo,4
Zambia,Eswatini,8
Israel,Denmark,1
Burkina Faso,Benin,11
Scotland,Bulgaria,3
Russia,Morocco,3
Martinique,Antigua and Barbuda,7
Zambia,Burkina Faso,2
German DR,Switzerland,4
Morocco,Congo,3
Uganda,Morocco,2
Kenya,Lesotho,3
Uganda,Nigeria,4
Belgium,Austria,3
Spain,Norway,7
China PR,Venezuela,1
France,Brazil,5
Sweden,German DR,2
Netherlands,Tunisia,1
Wales,Iran,1
Puerto Rico,Martinique,1
Peru,China PR,1
Mexico,Finland,3
France,Iran,1
France,Tunisia,2
Iran,Ghana,2
Finland,Greece,6
Tunisia,Mexico,1
Netherlands,Iran,1
Peru,Scotland,2
Poland,Tunisia,2
Greece,Australia,3
Peru,Iran,1
Argentina,Netherlands,1
Guadeloupe,Jamaica,3
Indonesia,Syria,1
Japan,Syria,10
Iraq,Malaysia,3
Iraq,Singapore,5
Thailand,Syria,3
Malaysia,Syria,2
Singapore,Syria,2
South Korea,Syria,6
French Guiana,Trinidad and Tobago,1
Trinidad and Tobago,French Guiana,5
China PR,Congo,1
Poland,Iceland,5
Russia,Iran,2
Switzerland,United States,4
French Guiana,Martinique,3
Mexico,Lebanon,1
Seychelles,Réunion,2
Finland,Hungary,3
Libya,Yemen DPR,1
Portugal,United States,2
Mozambique,Botswana,14
Malawi,Algeria,2
Northern Ireland,Denmark,3
Wales,Malta,4
Haiti,Antigua and Barbuda,8
Greece,Hungary,10
Malawi,Somalia,3
Burkina Faso,Mali,12
Kenya,Somalia,7
Portugal,Austria,2
Israel,Belgium,1
Algeria,Congo,2
Russia,Japan,3
Northern Ireland,Bulgaria,2
Wales,Turkey,4
Lesotho,Mauritius,4
China,Saudi Arabia,1
Kuwait,Japan,4
Greece,Romania,8
Japan,Bahrain,9
North Korea,Myanmar,5
India,Bangladesh,11
China,Qatar,1
North Korea,Thailand,9
Malawi,Madagascar,2
Kuwait,India,2
North Korea,Iraq,3
South Korea,China,2
China,Thailand,1
Syria,Tunisia,2
China,Malaysia,2
China,Iraq,1
China PR,Macau,6
South Korea,China PR,19
Guinea-Bissau,Cape Verde,4
Gambia,Mauritania,8
Senegal,Cape Verde,16
Senegal,Guinea-Bissau,10
Mali,Mauritania,16
Liberia,Guinea,5
Gambia,Ivory Coast,2
Liberia,Gambia,4
Iraq,Finland,2
Finland,Bahrain,4
Iraq,German DR,1
Libya,Poland,1
Bangladesh,Afghanistan,1
Qatar,Bangladesh,5
Yugoslavia,Cyprus,4
Morocco,Mauritania,5
United Arab Emirates,Oman,15
Benin,Ivory Coast,2
Togo,Gambia,2
Mauritius,Tanzania,3
Angola,São Tomé and Príncipe,2
Gambia,Togo,2
North Korea,Hong Kong,10
France,United States,3
North Korea,Malaysia,4
Zimbabwe,Mozambique,11
Switzerland,Iceland,7
Argentina,Scotland,2
Jamaica,Saint Kitts and Nevis,9
Denmark,Northern Ireland,5
Sweden,Luxembourg,5
Saint Vincent and the Grenadines,Martinique,4
Ecuador,Chile,12
Morocco,Togo,5
Sudan,Ivory Coast,1
Kenya,Egypt,1
Togo,Morocco,3
Belarus,Armenia,4
Georgia,Lithuania,5
Trinidad and Tobago,Grenada,14
Belarus,Latvia,5
Lithuania,Azerbaijan,2
Liberia,Ghana,4
Ukraine,Lithuania,8
Lithuania,Belarus,2
Madagascar,Tanzania,3
Kazakhstan,Belarus,2
Poland,Libya,1
Vanuatu,Guam,3
Solomon Islands,Wallis Islands and Futuna,3
Tahiti,Tonga,5
Fiji,Kiribati,3
New Caledonia,Guam,3
Tahiti,Tuvalu,2
Papua New Guinea,Kiribati,2
Solomon Islands,Samoa,2
Tuvalu,Tonga,2
Wallis Islands and Futuna,Samoa,2
Fiji,Wallis Islands and Futuna,1
New Caledonia,Tuvalu,4
Solomon Islands,Papua New Guinea,13
Ecuador,Uruguay,8
Guam,Samoa,1
Tonga,Wallis Islands and Futuna,1
Guam,Tuvalu,1
Vanuatu,Tonga,4
Solomon Islands,New Caledonia,9
South Korea,Sudan,1
Sudan,Bangladesh,1
South Korea,Sri Lanka,4
Sudan,Sri Lanka,1
New Zealand,Bahrain,4
Benin,Burkina Faso,3
Saint Vincent and the Grenadines,Guadeloupe,3
United States,Hungary,1
Niger,Benin,5
Republic of Ireland,United States,5
Malawi,Sudan,2
Saint Vincent and the Grenadines,Suriname,4
Haiti,Saint Vincent and the Grenadines,3
Denmark,Spain,2
Sweden,Singapore,1
Northern Ireland,Republic of Ireland,2
Turkey,Wales,3
Thailand,Sri Lanka,6
Angola,Gabon,11
Finland,Bermuda,1
Cameroon,Angola,5
Cameroon,Gabon,9
Basque Country,Bulgaria,1
Tunisia,Senegal,9
Czechoslovakia,Australia,6
South Korea,Saudi Arabia,6
Guinea,Guinea-Bissau,6
Mauritania,Mali,3
German DR,Spain,1
Morocco,Poland,1
Senegal,Gambia,12
Tahiti,New Zealand,2
Australia,Papua New Guinea,1
South Korea,Mexico,3
Fiji,New Zealand,5
Australia,Vanuatu,4
Iraq,Poland,1
New Zealand,Solomon Islands,11
Australia,Tahiti,10
Malaysia,Saudi Arabia,1
Italy,Uruguay,3
Malaysia,China PR,1
Belgium,Uruguay,2
Nigeria,Algeria,7
Republic of Ireland,Cyprus,8
Uruguay,Luxembourg,1
Guyana,Grenada,6
German DR,Greece,6
Luxembourg,Thailand,1
Libya,Gambia,1
Luxembourg,South Korea,1
Japan,Luxembourg,1
Myanmar,Luxembourg,1
South Korea,Luxembourg,1
Argentina,Austria,1
Norway,Bulgaria,5
England,Australia,5
Wales,Iceland,5
Algeria,Sierra Leone,2
Russia,Brazil,1
Northern Ireland,Australia,1
Guinea,Lesotho,1
Cameroon,Malawi,5
Faroe Islands,Greenland,6
Iceland,Greenland,2
Poland,Colombia,2
DR Congo,Mozambique,5
Hungary,Basque Country,1
Iran,United Arab Emirates,14
Mozambique,Lesotho,12
New Zealand,Mexico,1
Lesotho,Mozambique,3
Indonesia,Bahrain,2
Mexico,Fiji,1
Thailand,Bahrain,4
Mexico,Tahiti,1
Russia,Iceland,7
North Korea,Bangladesh,2
Syria,Bangladesh,3
South Korea,Qatar,6
Malaysia,United Arab Emirates,2
Iran,Bangladesh,5
Syria,China PR,5
Sweden,Bulgaria,11
South Korea,United Arab Emirates,14
Iceland,Turkey,8
China PR,Bangladesh,4
South Korea,North Korea,8
Kuwait,Iran,6
Saudi Arabia,Northern Cyprus,1
Libya,Turkey,1
Libya,Saudi Arabia,2
United States,Luxembourg,1
France,Cyprus,7
Cameroon,Zimbabwe,6
Romania,England,3
New Zealand,South Korea,1
Morocco,Thailand,1
New Zealand,Kuwait,1
Thailand,Kuwait,4
Indonesia,Kuwait,2
Morocco,New Zealand,1
Morocco,Indonesia,1
Malaysia,New Zealand,2
Morocco,Malaysia,1
Cuba,Guyana,3
Honduras,Canada,12
Ethiopia,Mozambique,1
Poland,Spain,1
Austria,Albania,7
Benin,Niger,4
Western Australia,Brunei,1
Zimbabwe,Cameroon,3
Poland,Algeria,1
Portugal,Northern Ireland,4
Singapore,Brunei,11
Sudan,Somalia,6
Bolivia,Finland,1
Togo,Mali,5
Poland,Malta,4
Uruguay,Finland,2
Mali,Togo,6
Algeria,Sudan,4
Saudi Arabia,Indonesia,13
Portugal,Israel,4
Brazil,Switzerland,4
DR Congo,Madagascar,6
Belgium,Cyprus,12
North Korea,Macau,5
Japan,Macau,4
Niger,Togo,4
Curaçao,Venezuela,1
Tunisia,Qatar,1
Venezuela,Curaçao,2
Poland,Japan,5
Bulgaria,Ecuador,1
Greece,Luxembourg,8
Bulgaria,Bolivia,1
Cape Verde,Guinea-Bissau,6
Mali,Cape Verde,6
Guinea-Bissau,Mauritania,8
Mexico,South Korea,8
Jordan,Oman,8
Netherlands,Cyprus,9
Bahrain,Jordan,8
Tunisia,Bahrain,1
Saudi Arabia,Jordan,7
Bahrain,Syria,6
Saudi Arabia,Iraq,10
Morocco,Liberia,4
Qatar,Syria,5
Cameroon,Niger,3
Israel,Romania,5
Togo,Congo,5
Denmark,Romania,3
Hungary,Spain,3
Nigeria,Guinea,4
Mali,Algeria,7
Ethiopia,Rwanda,4
Algeria,Niger,8
Rwanda,Ethiopia,4
New Zealand,Indonesia,2
German DR,Cuba,1
Czechoslovakia,Iceland,4
Niger,Algeria,1
Denmark,Italy,2
Fiji,Taiwan,1
Thailand,Liechtenstein,1
Malta,Indonesia,2
Guadeloupe,Dominica,10
Liechtenstein,Indonesia,1
Malta,Thailand,1
Angola,Mozambique,7
Spain,Venezuela,4
Malawi,Mozambique,13
Malawi,Zimbabwe,17
Kenya,Madagascar,3
Australia,Fiji,7
Zimbabwe,Nigeria,1
Guadeloupe,Saint Vincent and the Grenadines,2
Cameroon,Madagascar,2
Iceland,Nigeria,1
Iraq,Ghana,1
Indonesia,Australia,1
Madagascar,Cameroon,1
Indonesia,United Arab Emirates,1
India,United Arab Emirates,2
Zimbabwe,Eswatini,12
Zimbabwe,Lesotho,11
Niger,Burkina Faso,2
Japan,United Arab Emirates,6
Norway,England,2
United Arab Emirates,New Zealand,2
New Zealand,Japan,1
United Arab Emirates,Malaysia,9
Iraq,Japan,3
Venezuela,Cuba,2
Greece,Sweden,3
Portugal,Poland,5
Zimbabwe,Botswana,10
Kuwait,New Zealand,1
Algeria,Nigeria,9
Canada,Trinidad and Tobago,7
Spain,Luxembourg,6
Saudi Arabia,South Korea,4
China PR,Kuwait,9
Trinidad and Tobago,Saint Vincent and the Grenadines,7
Saint Vincent and the Grenadines,Puerto Rico,3
United Arab Emirates,India,10
Israel,Portugal,1
Sweden,Saudi Arabia,2
Canada,El Salvador,10
El Salvador,Mexico,4
Thailand,Pakistan,4
China PR,Saudi Arabia,6
Pakistan,Malaysia,1
Cameroon,Morocco,6
New Zealand,Saudi Arabia,4
Singapore,Bahrain,1
Portugal,Greece,4
Mali,Benin,9
Senegal,Benin,6
Libya,Guinea,2
Cape Verde,Gambia,2
Hungary,New Zealand,3
Cape Verde,Mali,4
Mauritania,Cape Verde,2
Burkina Faso,Liberia,3
Guinea,Cape Verde,4
Oman,Nepal,12
Oman,Bangladesh,3
Libya,Qatar,2
Uruguay,India,1
Honduras,United Arab Emirates,1
Uruguay,China PR,3
Nigeria,Ethiopia,8
Iraq,South Korea,1
Switzerland,Liechtenstein,9
United Arab Emirates,Singapore,5
Ghana,Algeria,4
Libya,Zambia,2
United States,Trinidad and Tobago,22
United Arab Emirates,Saudi Arabia,8
Nepal,Bhutan,9
Qatar,Kuwait,14
German DR,Italy,1
Nepal,Thailand,1
Algeria,Republic of Ireland,1
Peru,France,1
Cameroon,Senegal,3
Singapore,Nepal,3
Macau,Hong Kong,1
Trinidad and Tobago,Bermuda,7
Barbados,Bermuda,5
Trinidad and Tobago,Republic of Ireland,1
Wales,France,1
Malta,Iceland,3
Liechtenstein,China PR,1
Zimbabwe,Uganda,6
Belgium,Argentina,1
Scotland,New Zealand,1
Austria,Chile,1
Russia,New Zealand,2
Austria,Algeria,1
France,Kuwait,2
Tunisia,China PR,1
Argentina,El Salvador,2
Brazil,New Zealand,3
Algeria,Chile,1
Yugoslavia,Honduras,1
England,Kuwait,1
Northern Ireland,Spain,2
China PR,Tunisia,1
Réunion,Zimbabwe,1
Senegal,South Korea,3
Ghana,Singapore,1
Ghana,India,1
Senegal,United Arab Emirates,1
Ghana,Thailand,2
Malaysia,Senegal,1
United Arab Emirates,Indonesia,4
Burundi,Rwanda,3
Zimbabwe,Réunion,1
Switzerland,Bulgaria,6
Romania,Sweden,3
Rwanda,Somalia,7
Portugal,Finland,5
Wales,Norway,3
Zambia,Egypt,4
Saudi Arabia,Morocco,3
Austria,Northern Ireland,6
Spain,Iceland,7
Ghana,Angola,4
Kuwait,Norway,1
Zimbabwe,Tanzania,6
Togo,Sierra Leone,6
Northern Ireland,Germany,2
Zanzibar,Sudan,2
Saudi Arabia,Thailand,14
Kuwait,Nepal,9
South Korea,South Yemen,1
China,Bangladesh,1
Iraq,Nepal,4
Japan,South Yemen,1
Kenya,Zimbabwe,4
Bangladesh,Malaysia,1
Myanmar,Nepal,3
Iran,South Yemen,1
Zimbabwe,Zanzibar,4
Saudi Arabia,India,3
Gambia,Mali,7
Senegal,Niger,6
Saudi Arabia,North Korea,6
Tunisia,Angola,3
Netherlands,Malta,6
Niger,Senegal,1
Mauritania,Benin,3
Tunisia,German DR,1
Martinique,Saint Vincent and the Grenadines,1
Cameroon,Egypt,6
Portugal,Germany,3
Congo,Benin,2
Congo,Togo,2
Republic of Ireland,Malta,8
Antigua and Barbuda,Guadeloupe,3
Mozambique,Cameroon,1
Algeria,Benin,8
Libya,Senegal,4
Nigeria,Angola,3
Congo,Egypt,1
Madagascar,Uganda,3
Morocco,Mali,8
Tunisia,Rwanda,6
Romania,Italy,2
Guinea-Bissau,Togo,1
Sierra Leone,Jordan,1
Angola,Nigeria,2
Cameroon,Mozambique,7
Mali,Morocco,6
Mauritius,Ethiopia,1
Senegal,Libya,2
Benin,Algeria,2
Russia,Portugal,3
Wales,Bulgaria,5
Ghana,Libya,2
Iraq,Egypt,2
Togo,Guinea-Bissau,3
Spain,Malta,8
Martinique,Saint Kitts and Nevis,4
Egypt,Cameroon,12
Brunei,Myanmar,1
Antigua and Barbuda,Guyana,6
Iceland,Malta,11
New Zealand,Ghana,1
South Korea,Nigeria,3
Nigeria,Indonesia,1
South Korea,Ghana,3
Niger,Mauritania,4
Ethiopia,Togo,1
Qatar,Sudan,3
Gambia,Guinea,5
Guinea-Bissau,Guinea,4
French Guiana,Antigua and Barbuda,2
Guatemala,South Korea,1
Bulgaria,Algeria,3
Togo,Mauritania,2
Colombia,Bolivia,15
Cameroon,Sudan,5
Tahiti,Niue,1
Wallis Islands and Futuna,Tonga,1
Samoa,American Samoa,9
American Samoa,Wallis Islands and Futuna,1
Papua New Guinea,Niue,1
Tonga,American Samoa,7
Algeria,Ivory Coast,7
Togo,Ethiopia,1
Libya,Zimbabwe,1
Denmark,France,6
Fiji,New Caledonia,15
New Caledonia,Wallis Islands and Futuna,3
Tahiti,Samoa,5
Malaysia,Nepal,6
Denmark,England,4
Northern Ireland,Austria,4
Scotland,Uruguay,1
Bangladesh,Nepal,9
Ghana,Liberia,7
Sierra Leone,Mali,3
Turkey,Northern Ireland,5
Wales,Romania,1
Bulgaria,Wales,4
Sweden,Trinidad and Tobago,1
Turkey,Austria,7
Sweden,Barbados,1
Zimbabwe,Somalia,2
Mexico,Sweden,2
Switzerland,Algeria,2
Ivory Coast,Switzerland,1
China PR,Australia,4
Zimbabwe,Switzerland,1
Canada,Belize,4
Singapore,China PR,1
Togo,Nigeria,2
Sierra Leone,Mauritania,3
Poland,India,1
Argentina,India,1
Poland,China PR,2
China PR,Argentina,1
Mali,Liberia,6
Sierra Leone,Cape Verde,4
Guinea-Bissau,Mali,1
Saudi Arabia,Algeria,2
Honduras,Peru,2
Algeria,Malawi,3
Japan,Brunei,2
Algeria,Ghana,3
Kuwait,Finland,2
United Arab Emirates,Kuwait,16
Algeria,Egypt,8
Cameroon,Nigeria,5
Qatar,Iraq,12
Israel,Republic of Ireland,1
Kenya,China PR,1
Italy,Canada,1
Finland,Northern Ireland,5
Republic of Ireland,China PR,2
South Korea,Guatemala,1
Norway,Wales,4
Zimbabwe,Djibouti,2
Austria,Liechtenstein,9
India,Trinidad and Tobago,1
Ethiopia,Zimbabwe,2
Trinidad and Tobago,India,3
Suriname,India,2
Denmark,Yugoslavia,2
Guyana,India,2
Morocco,Sierra Leone,6
Angola,Senegal,2
Eswatini,Lesotho,14
Senegal,Angola,2
El Salvador,Puerto Rico,2
Romania,China PR,2
Antigua and Barbuda,Haiti,2
Syria,Philippines,5
Bangladesh,Philippines,1
Syria,Indonesia,4
Iran,Philippines,1
Colombia,Argentina,9
Papua New Guinea,Liberia,1
Egypt,Zimbabwe,7
Malaysia,Liberia,1
Papua New Guinea,Indonesia,1
Liberia,Indonesia,1
Malaysia,Papua New Guinea,3
Qatar,Singapore,11
Israel,Malta,6
China PR,Afghanistan,1
Denmark,Austria,8
Iceland,Wales,1
Northern Ireland,Romania,3
Qatar,Hong Kong,7
Portugal,Sweden,7
China PR,Jordan,6
Qatar,Jordan,11
China PR,Qatar,7
Jordan,Afghanistan,2
Ivory Coast,Niger,12
Iceland,Saudi Arabia,1
Angola,Botswana,7
Mozambique,Mauritius,6
South Korea,Cameroon,3
United States,Curaçao,2
South Korea,Yemen,1
Thailand,Saudi Arabia,1
United States,Colombia,3
India,Yemen,1
South Korea,Pakistan,2
Pakistan,Yemen,1
Algeria,Canada,1
Belgium,Albania,1
Scotland,Iceland,6
Malaysia,Yemen,4
Saudi Arabia,Nepal,1
Ivory Coast,Gambia,5
Tunisia,Canada,1
Sri Lanka,Nepal,6
Morocco,Canada,3
Saudi Arabia,Sri Lanka,3
United Arab Emirates,Nepal,2
Tunisia,Benin,6
United Arab Emirates,Sri Lanka,7
Czechoslovakia,Malta,1
Egypt,Canada,2
Somalia,Kenya,1
Angola,Congo,3
Liberia,Mauritania,2
Northern Ireland,Finland,4
England,Turkey,9
Hungary,Cyprus,7
Saudi Arabia,Finland,1
Mauritania,Liberia,2
United Arab Emirates,Syria,13
Uganda,Zimbabwe,2
China PR,Singapore,10
Syria,South Korea,1
France,German DR,2
Congo,Equatorial Guinea,5
Guatemala,Ecuador,1
Kuwait,Syria,14
Cameroon,Chad,7
Qatar,South Korea,3
China PR,United Arab Emirates,4
Saudi Arabia,Kuwait,15
Congo,Central African Republic,8
Saudi Arabia,China PR,8
Cyprus,Luxembourg,4
Norway,Egypt,3
Israel,Luxembourg,9
Albania,Belgium,1
Tunisia,Ghana,3
Barbados,Saint Lucia,4
Guyana,Cuba,1
Yugoslavia,Iran,1
Yugoslavia,Russia,1
Honduras,Denmark,1
Uruguay,German DR,1
Morocco,India,1
Bolivia,German DR,1
Bulgaria,Switzerland,2
Mexico,Poland,3
German DR,Ecuador,1
Chile,Finland,1
Ecuador,German DR,1
Portugal,Malta,9
Colombia,Poland,4
Ecuador,Finland,1
Macau,Brunei,3
Ecuador,Bolivia,18
Hong Kong,Brunei,3
Antigua and Barbuda,Dominica,8
Greece,Albania,6
South Korea,Nepal,9
Guadeloupe,Antigua and Barbuda,6
Dominica,Cayman Islands,1
Zimbabwe,Madagascar,4
Honduras,Suriname,1
Algeria,Mauritania,7
Canada,Saint Vincent and the Grenadines,3
Guyana,French Guiana,5
Jordan,Qatar,5
Costa Rica,Canada,9
Japan,North Korea,8
Brunei,Philippines,3
Belgium,Greece,3
Bahrain,Yemen DPR,2
Bangladesh,Indonesia,1
Syria,United Arab Emirates,3
Malta,Jordan,2
Bangladesh,Thailand,2
Egypt,Madagascar,2
Kuwait,Yemen,7
Morocco,Malawi,6
Zambia,Cameroon,3
Algeria,Angola,2
Madagascar,Egypt,2
North Korea,Nepal,4
Pakistan,Nepal,7
Wales,Spain,1
Bangladesh,Pakistan,6
Denmark,German DR,2
Colombia,Brazil,4
Uruguay,Japan,4
Canada,Ghana,1
Bahrain,Malaysia,8
Denmark,Russia,2
Iraq,Canada,1
Mexico,Germany,2
DR Congo,Réunion,1
DR Congo,Malawi,4
Bahrain,Mauritania,1
Malawi,Réunion,1
Iraq,Mauritania,1
DR Congo,Kenya,7
Angola,Guinea-Bissau,5
Libya,Ghana,3
Zimbabwe,Senegal,2
France,Uruguay,3
Libya,Mozambique,2
Canada,Honduras,9
Senegal,Zimbabwe,6
Cameroon,Saudi Arabia,2
Mozambique,Libya,1
China PR,Papua New Guinea,1
Syria,Bahrain,10
Norway,Italy,3
United Arab Emirates,Iraq,7
German DR,Yugoslavia,1
Saudi Arabia,Cameroon,2
Libya,Mexico,1
Zimbabwe,Kenya,1
Mexico,Yemen,1
Egypt,Mexico,1
New Zealand,Israel,1
British Virgin Islands,Anguilla,6
Zimbabwe,Angola,8
Ivory Coast,Egypt,7
Scotland,Australia,3
Saint Kitts and Nevis,Dominica,3
Mexico,Algeria,1
Cameroon,Equatorial Guinea,5
Tunisia,Poland,1
Gabon,Central African Republic,4
South Korea,Algeria,1
Gabon,Chad,4
Greece,Qatar,1
Senegal,Gabon,5
China PR,Peru,1
England,Egypt,3
Peru,India,1
Uruguay,Canada,2
Hungary,Qatar,2
Paraguay,Jamaica,4
Paraguay,South Korea,1
Paraguay,Indonesia,1
German DR,Portugal,1
Algeria,Mozambique,2
Liberia,Niger,3
Wales,Saudi Arabia,1
Norway,Grenada,1
England,Israel,2
Finland,Saudi Arabia,2
Paraguay,Qatar,1
Norway,Saint Lucia,1
Romania,Egypt,3
Norway,Guadeloupe,1
Norway,Martinique,1
Senegal,Egypt,5
Ivory Coast,Mozambique,5
Paraguay,Bahrain,1
Senegal,Mozambique,7
Bahrain,Iceland,1
Egypt,Mozambique,5
Cameroon,Algeria,5
Iceland,Bahrain,1
Kuwait,Iceland,1
Greece,German DR,2
Scotland,Romania,2
Brazil,Finland,3
Northern Ireland,Morocco,1
Romania,Russia,4
Pakistan,South Korea,1
Botswana,Eswatini,14
Norway,Argentina,2
Canada,Wales,1
Italy,China PR,1
Japan,Algeria,1
Wales,Canada,2
Panama,Dominican Republic,5
England,Canada,1
China PR,Iran,4
France,Canada,1
Argentina,South Korea,3
Nepal,Hong Kong,1
Paraguay,Iraq,1
Hungary,Canada,2
Denmark,Uruguay,2
Belgium,Iraq,1
Russia,Canada,1
Italy,South Korea,1
Mexico,Iraq,2
Morocco,Portugal,2
Spain,Algeria,1
Brazil,Northern Ireland,1
Belgium,Russia,7
England,Paraguay,3
Oman,Bahrain,14
Algeria,Indonesia,1
Canada,Singapore,2
China PR,Canada,1
North Korea,Canada,1
Saudi Arabia,Singapore,8
Romania,Austria,2
China,Bahrain,1
Japan,Nepal,4
Uganda,Rwanda,15
United Arab Emirates,Pakistan,5
Saudi Arabia,Malaysia,9
United Arab Emirates,Thailand,8
Iraq,Pakistan,7
Bahrain,India,6
Oman,Pakistan,3
Iran,Nepal,4
Botswana,Malawi,5
Kuwait,Indonesia,2
Gabon,Angola,6
Rwanda,Kenya,2
Spain,Albania,8
Nepal,Bangladesh,6
Italy,Malta,10
Angola,Tanzania,1
Zambia,Angola,5
Chad,Equatorial Guinea,4
Barbados,Saint Vincent and the Grenadines,1
Niger,Mali,1
Nigeria,Syria,1
Guyana,Saint Lucia,4
Liberia,Burkina Faso,2
Jamaica,Cayman Islands,11
Austria,Tunisia,2
Kuwait,Algeria,1
Thailand,Oman,6
North Korea,Russia,1
Iceland,Kuwait,2
Vanuatu,Palau,1
Mexico,China PR,3
Germany,Israel,5
Jordan,Cyprus,2
Turkey,German DR,3
DR Congo,Angola,7
Cuba,Ecuador,1
Angola,DR Congo,3
Switzerland,Israel,3
Republic of Ireland,Brazil,1
Guadeloupe,Réunion,1
Egypt,United States,1
Australia,Morocco,1
United States,Thailand,1
Madagascar,Seychelles,4
Madagascar,Congo,2
Ivory Coast,Malawi,5
Burundi,Malawi,1
Sierra Leone,Nigeria,2
Guinea-Bissau,São Tomé and Príncipe,5
Liberia,Morocco,1
Indonesia,Algeria,2
Algeria,South Korea,2
Finland,Czechoslovakia,2
Republic of Ireland,Israel,1
Togo,Central African Republic,1
Malawi,Tunisia,2
Chad,Central African Republic,1
Angola,Cuba,1
New Caledonia,American Samoa,4
Vanuatu,Wallis Islands and Futuna,2
Vanuatu,American Samoa,4
Wallis Islands and Futuna,American Samoa,1
Tunisia,Mauritania,11
Papua New Guinea,American Samoa,3
Senegal,Burkina Faso,4
United States,Guatemala,14
United Arab Emirates,Jordan,10
Indonesia,Oman,1
Jordan,United Arab Emirates,3
Bulgaria,Qatar,1
Bulgaria,United Arab Emirates,3
United Arab Emirates,Japan,5
Morocco,Austria,1
France,Morocco,4
Malta,Finland,1
United Arab Emirates,Yemen,10
Yemen,India,6
Finland,Tunisia,2
United Arab Emirates,Bangladesh,5
Egypt,United Arab Emirates,5
Djibouti,Yemen DPR,1
Oman,Qatar,5
Bahrain,Kuwait,13
Guatemala,Uruguay,1
Algeria,DR Congo,1
Republic of Ireland,Romania,2
Canada,Peru,1
Colombia,Canada,1
Canada,Jamaica,10
Jordan,Pakistan,8
Kuwait,Pakistan,4
Japan,Pakistan,1
Republic of Ireland,Yugoslavia,1
Sweden,Wales,6
Cape Verde,Mauritania,5
Hungary,Iceland,8
Guadeloupe,Togo,1
Jamaica,Puerto Rico,5
Réunion,Togo,1
Greece,Canada,3
Colombia,Finland,1
Northern Ireland,Malta,6
Greece,Chile,1
Burkina Faso,Ghana,7
Canada,Chile,1
Syria,North Korea,4
Syria,Nepal,2
Libya,Burkina Faso,2
Syria,Hong Kong,1
Wales,Italy,2
Ecuador,United States,5
Russia,Netherlands,3
United States,Costa Rica,19
Bahrain,South Korea,2
Ecuador,Honduras,6
Indonesia,Yemen DPR,1
Curaçao,Antigua and Barbuda,4
South Korea,Zambia,2
Saudi Arabia,Hong Kong,6
Burkina Faso,Libya,3
Brazil,Australia,6
Australia,Saudi Arabia,5
Brazil,Saudi Arabia,5
Australia,Argentina,1
Egypt,Lebanon,3
Argentina,Saudi Arabia,2
Jordan,Syria,11
Egypt,Jordan,2
Niger,Ghana,1
Bulgaria,Iceland,4
United States,Jamaica,18
Netherlands,Wales,10
Paraguay,Honduras,2
Qatar,Indonesia,7
Equatorial Guinea,Angola,1
Gabon,Burkina Faso,8
Guatemala,Canada,2
Malta,Cyprus,2
Seychelles,Mauritius,4
Hungary,Northern Ireland,5
Republic of Ireland,Tunisia,1
Vanuatu,New Caledonia,7
Norway,Cyprus,13
Sweden,Albania,3
Angola,Sudan,1
Zimbabwe,Ethiopia,1
Angola,Cape Verde,2
Russia,Syria,1
Russia,Kuwait,2
Central African Republic,Chad,2
Iran,Qatar,15
Gabon,Equatorial Guinea,6
China PR,Bahrain,2
Singapore,Oman,1
Qatar,Japan,2
Switzerland,Egypt,1
Saudi Arabia,Iran,4
Algeria,Zimbabwe,3
Egypt,Liberia,5
Ivory Coast,Libya,6
Egypt,Finland,2
Senegal,DR Congo,5
Algeria,Finland,1
Thailand,China PR,5
Poland,Guatemala,1
Greece,Norway,5
England,Albania,6
Paraguay,Martinique,1
Paraguay,Guadeloupe,1
Saudi Arabia,Yemen,18
Qatar,Malaysia,4
Ethiopia,Malawi,3
Portugal,Angola,3
Trinidad and Tobago,Aruba,2
Ivory Coast,Angola,5
Gabon,Ghana,2
Zimbabwe,Mauritius,6
Bermuda,Barbados,7
Denmark,Canada,1
Faroe Islands,Canada,1
Canada,Faroe Islands,1
Bermuda,Trinidad and Tobago,3
Antigua and Barbuda,Jamaica,1
Ghana,Gabon,6
Saint Kitts and Nevis,French Guiana,2
Denmark,Bulgaria,4
Belgium,Czechoslovakia,2
Paraguay,El Salvador,3
